Repository,URL
ansible/pinakes,https://github.com/ansible/pinakes
ansible/python-builder-image,https://github.com/ansible/python-builder-image
ansible/aap-gateway-poc,https://github.com/ansible/aap-gateway-poc
ansible/aut,https://github.com/ansible/aut
ansible/eda-server-prototype,https://github.com/ansible/eda-server-prototype
ansible/ansible-automation-platform-azure-billing,https://github.com/ansible/ansible-automation-platform-azure-billing
ansible/ansible-builder-shipwright-demo,https://github.com/ansible/ansible-builder-shipwright-demo
ansible/python-memcached,https://github.com/ansible/python-memcached
ansible/ansible-collection-memsource,https://github.com/ansible/ansible-collection-memsource
ansible/aap-awscf-amimgmt,https://github.com/ansible/aap-awscf-amimgmt
ansible/aap-gcpdm-imagemgmt,https://github.com/ansible/aap-gcpdm-imagemgmt
ansible/schemas,https://github.com/ansible/schemas
ansible/python3-saml,https://github.com/ansible/python3-saml
ansible/python-memsource,https://github.com/ansible/python-memsource
ansible/ansible-lockdown,https://github.com/ansible/ansible-lockdown
ansible/genealogist,https://github.com/ansible/genealogist
ansible/ansible-runner-service,https://github.com/ansible/ansible-runner-service
ansible/pytest-mp,https://github.com/ansible/pytest-mp
ansible/ansible-runner-zeromq,https://github.com/ansible/ansible-runner-zeromq
ansible/network-ee,https://github.com/ansible/network-ee
ansible/project-config,https://github.com/ansible/project-config
ansible/python-base-image,https://github.com/ansible/python-base-image
ansible/aap_migration,https://github.com/ansible/aap_migration
ansible/ansible-jupyter-kernel,https://github.com/ansible/ansible-jupyter-kernel
ansible/controller-github-auditor,https://github.com/ansible/controller-github-auditor
ansible/gha-wsl2-playground,https://github.com/ansible/gha-wsl2-playground
ansible/gha-runner-scaler,https://github.com/ansible/gha-runner-scaler
ansible/platform-2.0-partner-demo,https://github.com/ansible/platform-2.0-partner-demo
ansible/aap-qa-azurerm,https://github.com/ansible/aap-qa-azurerm
ansible/ansible-runner-test-container,https://github.com/ansible/ansible-runner-test-container
ansible/ansible-builder-test-container,https://github.com/ansible/ansible-builder-test-container
ansible/aap_refarch,https://github.com/ansible/aap_refarch
ansible/ansible-baseline,https://github.com/ansible/ansible-baseline
ansible/awx-facts-playbooks,https://github.com/ansible/awx-facts-playbooks
ansible/galaxy_collection_archived,https://github.com/ansible/galaxy_collection_archived
ansible/automation_services_catalog_client,https://github.com/ansible/automation_services_catalog_client
ansible/ansible-pypi-test-mirror,https://github.com/ansible/ansible-pypi-test-mirror
ansible/tower-nagios-integration,https://github.com/ansible/tower-nagios-integration
ansible/ansible-core-image,https://github.com/ansible/ansible-core-image
ansible/cloud-ee,https://github.com/ansible/cloud-ee
ansible/zuul-jobs,https://github.com/ansible/zuul-jobs
ansible/shippable-migration-tool,https://github.com/ansible/shippable-migration-tool
ansible/ansible-azp,https://github.com/ansible/ansible-azp
ansible/transfer-issues,https://github.com/ansible/transfer-issues
ansible/docker-test-containers,https://github.com/ansible/docker-test-containers
ansible/proposals,https://github.com/ansible/proposals
ansible/ansible-blog-examples,https://github.com/ansible/ansible-blog-examples
ansible/system-certifi,https://github.com/ansible/system-certifi
ansible/python-rhsm,https://github.com/ansible/python-rhsm
ansible/tower-cli,https://github.com/ansible/tower-cli
ansible/foreman-test-container,https://github.com/ansible/foreman-test-container
ansible/vcenter-test-container,https://github.com/ansible/vcenter-test-container
ansible/fallaxy-test-container,https://github.com/ansible/fallaxy-test-container
ansible/angular-scheduler,https://github.com/ansible/angular-scheduler
ansible/ngToast,https://github.com/ansible/ngToast
ansible/angular-tz-extensions,https://github.com/ansible/angular-tz-extensions
ansible/angular-codemirror,https://github.com/ansible/angular-codemirror
ansible/shippable-build-container,https://github.com/ansible/shippable-build-container
ansible/galaxy-dev,https://github.com/ansible/galaxy-dev
ansible/awx-custom-credential-plugin-example,https://github.com/ansible/awx-custom-credential-plugin-example
ansible/prmove,https://github.com/ansible/prmove
ansible/galaxy-api,https://github.com/ansible/galaxy-api
ansible/ansible-doctor,https://github.com/ansible/ansible-doctor
ansible/ansible-legacy-tests,https://github.com/ansible/ansible-legacy-tests
ansible/awx-rabbitmq,https://github.com/ansible/awx-rabbitmq
ansible/ansible_collections_f5,https://github.com/ansible/ansible_collections_f5
ansible/asgi_amqp,https://github.com/ansible/asgi_amqp
ansible/content_collector,https://github.com/ansible/content_collector
ansible/django-realworld-example-app,https://github.com/ansible/django-realworld-example-app
ansible/qa-scale-lab,https://github.com/ansible/qa-scale-lab
ansible/network,https://github.com/ansible/network
ansible/mazer,https://github.com/ansible/mazer
ansible/lightbulb,https://github.com/ansible/lightbulb
ansible/ansible-runner-aio,https://github.com/ansible/ansible-runner-aio
ansible/ansible-container,https://github.com/ansible/ansible-container
ansible/libcloud,https://github.com/ansible/libcloud
ansible/ansible-container-demo,https://github.com/ansible/ansible-container-demo
ansible/ansible-runner-http,https://github.com/ansible/ansible-runner-http
ansible/galaxy-lint-rules,https://github.com/ansible/galaxy-lint-rules
ansible/django-qsstats-magic,https://github.com/ansible/django-qsstats-magic
ansible/zuul-test-repo,https://github.com/ansible/zuul-test-repo
ansible/ansible-kubernetes-modules,https://github.com/ansible/ansible-kubernetes-modules
ansible/network-infra-playbooks,https://github.com/ansible/network-infra-playbooks
ansible/angular-drag-and-drop-lists,https://github.com/ansible/angular-drag-and-drop-lists
ansible/django-oauth-toolkit,https://github.com/ansible/django-oauth-toolkit
ansible/dci-partner-ansible,https://github.com/ansible/dci-partner-ansible
ansible/nginx-container,https://github.com/ansible/nginx-container
ansible/ansible-modules-extras,https://github.com/ansible/ansible-modules-extras
ansible/ansible-modules-core,https://github.com/ansible/ansible-modules-core
ansible/ansible-inventory-backport,https://github.com/ansible/ansible-inventory-backport
ansible/django-gulp-nginx,https://github.com/ansible/django-gulp-nginx
ansible/azure-testing,https://github.com/ansible/azure-testing
ansible/nvd3,https://github.com/ansible/nvd3
ansible/ansible-container-examples,https://github.com/ansible/ansible-container-examples
ansible/galaxy-issues,https://github.com/ansible/galaxy-issues
ansible/gevent-socketio,https://github.com/ansible/gevent-socketio
ansible/hello-world,https://github.com/ansible/hello-world
ansible/awx-insights-playbooks,https://github.com/ansible/awx-insights-playbooks
ansible/dci-ansible-testrunner,https://github.com/ansible/dci-ansible-testrunner
ansible/django-jsonfield,https://github.com/ansible/django-jsonfield
ansible/functools-total-ordering-monkeypatch,https://github.com/ansible/functools-total-ordering-monkeypatch
ansible/python-social-auth,https://github.com/ansible/python-social-auth
ansible/sherlock,https://github.com/ansible/sherlock
ansible/openstack-ci,https://github.com/ansible/openstack-ci
ansible/docutils,https://github.com/ansible/docutils
ansible/django-template,https://github.com/ansible/django-template
ansible/immutablish-deploys,https://github.com/ansible/immutablish-deploys
ansible/ansible.github.io,https://github.com/ansible/ansible.github.io
ansible/django-jsonbfield,https://github.com/ansible/django-jsonbfield
ansible/ansible-demo-operations,https://github.com/ansible/ansible-demo-operations
ansible/test-network-modules,https://github.com/ansible/test-network-modules
ansible/ansible-docker-base,https://github.com/ansible/ansible-docker-base
ansible/timezone-js,https://github.com/ansible/timezone-js
ansible/role-local-registry,https://github.com/ansible/role-local-registry
ansible/docker-testing,https://github.com/ansible/docker-testing
ansible/angular-breadcrumb,https://github.com/ansible/angular-breadcrumb
ansible/autoscaling-blog,https://github.com/ansible/autoscaling-blog
ansible/galaxy-docs,https://github.com/ansible/galaxy-docs
ansible/ansible-for-rubyists,https://github.com/ansible/ansible-for-rubyists
ansible/playbook-ansible_integration,https://github.com/ansible/playbook-ansible_integration
ansible/dm.xmlsec.binding,https://github.com/ansible/dm.xmlsec.binding
ansible/revelator,https://github.com/ansible/revelator
ansible/training-content,https://github.com/ansible/training-content
ansible/ambassadors,https://github.com/ansible/ambassadors
ansible/ansiconv,https://github.com/ansible/ansiconv
ansible/ansible.github.com,https://github.com/ansible/ansible.github.com
